Context,mean_delta,std_delta,count,mean_abs_delta
laborer,0.691015625,0.5517529536720676,10,0.691015625
mechanic,0.6671875,0.819598213323182,10,0.6671875
analyst,0.58125,0.47106920483781123,10,0.58125
developer,0.5376953125,0.593305847731476,10,0.5376953125
carpenter,0.498046875,0.630542508894526,10,0.498046875
constructor,0.47421875,0.6331505227182576,10,0.47421875
janitor,0.36466140747070314,0.6940969156616466,10,0.36466140747070314
driver,0.28291015625,0.5824880470137328,10,0.28291015625
accountant,0.2203125,0.6079856401498905,10,0.2203125
lawyer,0.2189453125,0.26266517891761043,10,0.2189453125
guard,0.195703125,0.5863560426444497,10,0.195703125
chief,0.169140625,0.4207766453800746,10,0.169140625
auditor,0.1658203125,0.5959591819332013,10,0.1658203125
CEO,0.165234375,0.5110143781888253,10,0.165234375
manager,0.1640625,0.48048110022519214,10,0.1640625
sewer,0.1421875,0.2920802499242859,10,0.1421875
editor,0.1263671875,0.2534936718741319,10,0.1263671875
writer,0.12421875,0.17625611014330034,10,0.12421875
farmer,0.1123046875,0.5553726954986988,10,0.1123046875
attendant,0.099609375,0.18282103197089436,10,0.099609375
cleaner,0.06171875,0.26355401815588225,10,0.06171875
secretary,0.013671875,0.28063596406214014,10,0.013671875
sheriff,0.0080078125,0.31849507961068974,10,0.0080078125
physician,-0.0166015625,0.1709979249110738,10,0.0166015625
clerk,-0.02578125,0.35061093249842223,10,0.02578125
cook,-0.041796875,0.18031668226422587,10,0.041796875
mover,-0.073046875,0.2059684295659521,10,0.073046875
assistant,-0.09375,0.3686804754374037,10,0.09375
cashier,-0.10966796875,0.2944206104188986,10,0.10966796875
housekeeper,-0.203515625,0.18517483717652,10,0.203515625
baker,-0.229296875,0.15314348935283928,10,0.229296875
designer,-0.2443359375,0.35313168559689506,10,0.2443359375
teacher,-0.406591796875,0.412330832295708,10,0.406591796875
supervisor,-0.43125,0.9288978906384915,10,0.43125
receptionist,-0.4755859375,0.46854763607860417,10,0.4755859375
hairdresser,-0.491015625,1.7202290530807036,10,0.491015625
salesperson,-0.50625,1.0922984539691534,10,0.50625
nurse,-0.622265625,0.8711556405517352,10,0.622265625
librarian,-0.6638671875,0.39802181858425667,10,0.6638671875
counselor,-0.751171875,0.324864181439534,10,0.751171875
