Context,mean_delta,std_delta,count,mean_abs_delta
explorer,1.1416581869125366,0.2083672149249122,4,1.1416581869125366
filmmaker,0.9274948537349701,0.35758303193742946,8,0.9274948537349701
economist,0.914037221356442,0.31312946215782966,19,0.914037221356442
physicist,0.891574583270333,0.4807662980931284,11,0.891574583270333
engineer,0.6975422120756574,0.27685327051683495,36,0.6975422120756574
conductor,0.6857892672220866,0.4349510732547117,3,0.6857892672220866
coach,0.6637811263402303,0.25895775782776187,6,0.6637811263402303
historian,0.6613214572270711,0.2297338847559511,30,0.6613214572270711
mathematician,0.5418676286935806,0.3930064156228523,8,0.5418676286935806
strategist,0.5124740600585938,0.010561244975974531,3,0.5124740600585938
entrepreneur,0.48424555574144634,0.3138005658440512,14,0.48424555574144634
geographer,0.479086309671402,0.13367889643087333,4,0.479086309671402
astronomer,0.4700721581776937,0.22609504559331955,15,0.4700721581776937
novelist,0.46683305501937866,0.21000992111259673,4,0.46683305501937866
climatologist,0.4266993582714349,0.17695472642702786,6,0.4266993582714349
architect,0.41731030866503716,0.3744613666744207,16,0.41731030866503716
trainer,0.38386329015096027,0.6360583519298129,3,0.38386329015096027
geologist,0.3348689177738769,0.09760163026489843,14,0.3348689177738769
analyst,0.31839026854588437,0.2539193387831451,13,0.31839026854588437
chef,0.3152226339215818,0.12165162749664488,23,0.3152226339215818
astronaut,0.29095932841300964,0.3299859123830914,4,0.29095932841300964
pilot,0.28952733107975553,0.12108374674716327,7,0.28952733107975553
poet,0.2697891712188721,0.047409347599755756,5,0.2697891712188721
expert,0.2625933030377264,0.2532881299534192,23,0.2625933030377264
physician,0.2563919425010681,0.14862846632642487,4,0.2563919425010681
musician,0.20062429653970817,0.3503419922506322,19,0.20062429653970817
artist,0.197899586388043,0.11756933236586918,14,0.197899586388043
journalist,0.156893290579319,0.1678032661833482,16,0.156893290579319
scientist,0.15058676860271356,0.24285703078651863,39,0.15058676860271356
athlete,0.1463189308459942,0.8304287431697397,13,0.1463189308459942
photographer,0.14163227592195785,0.13852322617436524,7,0.14163227592195785
demographer,0.14140075333416463,0.19117263636471513,5,0.14140075333416463
scholar,0.10889822244644165,0.25844535570086613,4,0.10889822244644165
developer,0.10809457302093506,0.1584803847902579,9,0.10809457302093506
author,0.10695477326711018,0.12749632514653558,9,0.10695477326711018
critic,0.10271585981051128,0.1064952167515093,3,0.10271585981051128
neuroscientist,0.1017204443924129,0.1075950261739526,4,0.1017204443924129
sociologist,0.08938062766295236,0.14432440329031607,9,0.08938062766295236
archaeologist,0.0877593524249581,0.1919674588525108,12,0.0877593524249581
geneticist,0.059110681215922035,0.16994601111683114,9,0.059110681215922035
director,0.05138642787933349,1.0277637829188555,5,0.05138642787933349
designer,0.04283449901589032,0.13982702929246799,29,0.04283449901589032
manager,-0.026621833443641663,0.20921053692189173,4,0.026621833443641663
biologist,-0.027629846646901098,0.22401080104381713,31,0.027629846646901098
lawyer,-0.03133672475814819,0.15837211817019253,4,0.03133672475814819
linguist,-0.07253008016518184,0.13597720023179022,14,0.07253008016518184
planner,-0.07798192729907376,0.1532377122895469,21,0.07798192729907376
philanthropist,-0.09242845773696899,0.1990284211898543,5,0.09242845773696899
curator,-0.13394631147384645,0.059979990655528385,10,0.13394631147384645
consultant,-0.13875595728556314,0.18442417466648384,3,0.13875595728556314
criminologist,-0.17790016162325628,0.11922209171198475,4,0.17790016162325628
choreographer,-0.18150019645690918,0.030011672231137623,3,0.18150019645690918
psychologist,-0.19574873005190202,0.20653142024969737,31,0.19574873005190202
anthropologist,-0.2185630743458335,0.3130503375606245,7,0.2185630743458335
specialist,-0.23836496472358704,0.1983071536113849,8,0.23836496472358704
environmentalist,-0.2404678612947464,0.3348539590019503,16,0.2404678612947464
humanitarian,-0.24626147747039795,0.48045962856605073,4,0.24626147747039795
worker,-0.24751147851347924,0.1500842834202482,10,0.24751147851347924
activist,-0.25851216316223147,0.14846161812941058,5,0.25851216316223147
coordinator,-0.2641955216725667,0.3464044475008177,3,0.2641955216725667
ecologist,-0.2711159218917601,0.10557748528871433,5,0.2711159218917601
researcher,-0.3828554332256317,0.4443092448625662,30,0.3828554332256317
advocate,-0.46510549386342365,0.28388518107806626,3,0.46510549386342365
educator,-0.494968056678772,0.15096868616918382,16,0.494968056678772
teacher,-0.6014356745613946,0.17604545658977494,9,0.6014356745613946
nutritionist,-0.791693154308531,0.26100116055590267,18,0.791693154308531
therapist,-0.8025787671407064,0.2760424348027226,15,0.8025787671407064
fitness,-0.9438185453414917,0.18365366276046297,5,0.9438185453414917
