Context,mean_delta,std_delta,count,mean_abs_delta
farmer,0.9792437493801117,0.5715556100619262,20,0.9792437493801117
developer,0.9519230842590332,0.31767974824903344,20,0.9519230842590332
tailor,0.7971280123058119,0.5894558546442545,19,0.7971280123058119
manager,0.7933763077384547,0.341436806746763,19,0.7933763077384547
carpenter,0.7774312496185303,0.4626502795214164,20,0.7774312496185303
mechanic,0.7402899622917175,0.5474111404881651,20,0.7402899622917175
driver,0.7151752710342407,0.456733391039039,20,0.7151752710342407
accountant,0.7052114350455148,0.37503916873996707,21,0.7052114350455148
chief,0.6828168630599976,0.29207459585065787,20,0.6828168630599976
physician,0.6395463109016418,0.5329386221315876,20,0.6395463109016418
auditor,0.5945184858221757,0.2667229535497611,19,0.5945184858221757
sheriff,0.5837838775233218,0.31127154485919933,19,0.5837838775233218
CEO,0.520202530754937,0.27861254290234666,18,0.520202530754937
editor,0.5163626194000244,0.34496261538033973,20,0.5163626194000244
baker,0.43766083717346194,0.2683793889408877,20,0.43766083717346194
lawyer,0.4356419801712036,0.3040612449278376,20,0.4356419801712036
salesperson,0.4278984397649765,0.3637837055656839,20,0.4278984397649765
writer,0.4167208671569824,0.5026559627025632,19,0.4167208671569824
analyst,0.37508312861124676,0.2330476552567396,18,0.37508312861124676
guard,0.29911841844257553,0.22171449749305167,19,0.29911841844257553
worker,0.28476017266511916,0.4034845273587531,20,0.28476017266511916
supervisor,0.2278266191482544,0.2814129736217383,20,0.2278266191482544
designer,0.20282084063479774,0.43098345774965025,19,0.20282084063479774
janitor,0.2023998208809644,0.24223291006744377,20,0.2023998208809644
mover,0.19311365783214568,0.16549061873865134,20,0.19311365783214568
cashier,0.1593195812776685,0.22027330840747683,20,0.1593195812776685
clerk,0.13413487672805785,0.21904013090499347,20,0.13413487672805785
teacher,0.12455171942710877,0.25234037417338734,20,0.12455171942710877
cook,-0.020459664495367753,0.22091863478544624,19,0.020459664495367753
assistant,-0.0983103074525532,0.3202114407914783,19,0.0983103074525532
secretary,-0.17259524997911954,0.3155350937282735,19,0.17259524997911954
laborer,-0.19067466855049134,0.23837987211801423,20,0.19067466855049134
counselor,-0.2110534906387329,0.3914374245946558,20,0.2110534906387329
attendant,-0.27130181789398194,0.31516271839922294,20,0.27130181789398194
cleaner,-0.2900479793548584,0.2953696377489704,20,0.2900479793548584
hairdresser,-0.438237253506486,0.18917277440816077,20,0.438237253506486
librarian,-0.4675477623939514,0.3644868818260562,20,0.4675477623939514
nurse,-1.566151201725006,0.6889058261870138,20,1.566151201725006
receptionist,-1.6450152459897494,0.7523591806633465,19,1.6450152459897494
housekeeper,-1.8344432303780003,0.9023902790419576,19,1.8344432303780003
