Context,mean_delta,std_delta,count,mean_abs_delta
sewer,1.1315812110900878,0.5528441894352023,10,1.1315812110900878
mechanic,0.5322938203811646,0.98630093357128,10,0.5322938203811646
chief,0.22869889736175536,0.44834904876260506,10,0.22869889736175536
secretary,0.22529914379119872,0.37661587135921126,10,0.22529914379119872
cashier,0.19063523761597026,0.5847350798092483,10,0.19063523761597026
auditor,0.1371244430541992,0.5387316919092531,10,0.1371244430541992
guard,0.057307207584381105,0.18258115192715213,10,0.057307207584381105
editor,0.0566436767578125,0.7861053659821575,10,0.0566436767578125
analyst,0.026780366897583008,0.476222148692215,10,0.026780366897583008
carpenter,0.017551875114440917,0.39834586913574915,10,0.017551875114440917
lawyer,0.006871509552001953,0.5784599891753954,10,0.006871509552001953
hairdresser,-0.000606280629244793,0.0022627337166415697,10,0.000606280629244793
farmer,-0.006035327911376953,0.22660670323653867,10,0.006035327911376953
supervisor,-0.011180353164672852,0.5756968729655572,10,0.011180353164672852
janitor,-0.027781611050158972,0.073384162985517,10,0.027781611050158972
constructor,-0.03618931230157614,0.7389479810186129,10,0.03618931230157614
sheriff,-0.03732533454895019,0.23932947864062165,10,0.03732533454895019
baker,-0.037630653381347655,0.3740105675892718,10,0.037630653381347655
laborer,-0.041392904333770277,0.2941483596695943,10,0.041392904333770277
cleaner,-0.05165419578552246,0.3581140558029216,10,0.05165419578552246
mover,-0.06833461225032807,0.32829632852257506,10,0.06833461225032807
clerk,-0.06854010820388794,0.337680098623303,10,0.06854010820388794
driver,-0.08179128915071487,0.5081177891048329,10,0.08179128915071487
manager,-0.10767982006072999,0.38913028185011067,10,0.10767982006072999
CEO,-0.1351886510848999,0.43766133644819677,10,0.1351886510848999
designer,-0.1352013111114502,0.5756880326130919,10,0.1352013111114502
nurse,-0.14899883270263672,0.47248397748986887,10,0.14899883270263672
physician,-0.16071252822875975,0.4692898225024755,10,0.16071252822875975
developer,-0.17638449668884276,0.6298812241854418,10,0.17638449668884276
accountant,-0.18971631526947022,0.37644405639519346,10,0.18971631526947022
cook,-0.34423703551292417,0.6059322585713233,10,0.34423703551292417
writer,-0.36876420974731444,0.8262920165493665,10,0.36876420974731444
housekeeper,-0.4338420867919922,0.34458786824316806,10,0.4338420867919922
counselor,-0.43437244892120364,0.4511034117082015,10,0.43437244892120364
librarian,-0.4656501293182373,0.49673680858539654,10,0.4656501293182373
salesperson,-0.5136856142431497,0.486913472661228,10,0.5136856142431497
teacher,-0.5218253314495087,0.7375571432742148,10,0.5218253314495087
attendant,-0.5856106996536254,0.6687202461606427,10,0.5856106996536254
assistant,-0.586924695968628,1.032140205443979,10,0.586924695968628
receptionist,-0.6967825889587402,0.42242031533077246,10,0.6967825889587402
